"Категория";"Производитель";"Товар";"Описание";"Цена (розница)";"Наличие";"Ссылка";"Гарантия, м";"Полное описание";"Ссылка на товар в интернет магазине"
"Мобильные телефоны";"Acer";"Acer Liquid Z6";"Гарантия 36 месяцев.Original.Цвет чёрный.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"295.00";"На складе";"https://phone.1k.by/mobile/acer/Acer_Liquid_Z6-2959603.html";"36";"";"";
"Мобильные телефоны";"Alcatel";"Alcatel Idol 3 (4.7)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"340.00";"На складе";"https://phone.1k.by/mobile/alcatel/Alcatel_Idol_3_47-2147851.html";"36";"";"";
"Мобильные телефоны";"Alcatel";"Alcatel OneTouch Pixi 4 5045D";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"186.00";"На складе";"https://phone.1k.by/mobile/alcatel/Alcatel_OneTouch_Pixi_4_5045D-2550777.html";"36";"";"";
"Мобильные телефоны";"Alcatel";"Alcatel OneTouch Pop 4 5056D";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"234.00";"На складе";"https://phone.1k.by/mobile/alcatel/Alcatel_OneTouch_Pop_4_5056D-2550775.html";"36";"";"";
"Мобильные телефоны";"Alcatel";"Alcatel OneTouch Pop Star 5022D";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"180.00";"На складе";"https://phone.1k.by/mobile/alcatel/Alcatel_OneTouch_Pop_Star_5022D-2395767.html";"36";"";"";
"Мобильные телефоны";"Alcatel";"Alcatel Shine Lite (5080X)";"Гарантия 36 месяцев.Original.Все цвета.Все на русском.Подарки:чехол,защитная пленка,автозарядное.Карта памяти 32-64Gb.Обрежем СИМ.Доставка по Минску и РБ Бесплатно!Установим Navitel";"234.00";"На складе";"https://phone.1k.by/mobile/alcatel/Alcatel_Shine_Lite_5080X-2659611.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 4S (16Gb)";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Цвет:чёрный,белый.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"289.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_4S_16Gb-594296.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 4S (64Gb)";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Цвет:чёрный,белый.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"350.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_4S_64Gb-594298.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5 16Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"470.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5_16Gb-739711.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5 32Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"530.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5_32Gb-739709.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5 64Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"570.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5_64Gb-739710.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5C 16Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"480.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5C_16Gb-940353.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5C 32Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"500.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5C_32Gb-940359.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5C 8Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"470.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5C_8Gb-1404685.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5S 16Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"570.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5S_16Gb-942373.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5S 32Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"650.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5S_32Gb-940355.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5S 64Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"660.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5S_64Gb-942375.html";"36";"";"";
"Мобильные телефоны";"Apple";"Apple iPhone 5S CPO 16Gb";"Гарантия 36 месяцев.ЕВРОПА.ORIGINAL.ЗАПЕЧАТАН.NEVERLOCK.Все цвета.Полный заводской комплект.Подарки:MP3-плеер,пленка,чехол,автозарядное .Бесплатная доставка по Минску и РБ.Обрежем SIM";"570.00";"На складе";"https://phone.1k.by/mobile/apple/Apple_iPhone_5S_CPO_16Gb-2924215.html";"36";"";"";
